objid,ra,dec,u,g,r,i,z,run,rerun,camcol,field,specobjid,class,redshift,plate,mjd,fiberid,SpType,BV,TEff,FeH
1237652629102657593,9.50565535379179,-10.7355318688868,17.20374,15.6688,15.05724,14.78692,14.6555,1666,301,2,254,3495926438522101760,STAR,-0.0005131955,3105,54825,26,G5III,0.709,5073,-1.44
1237652629639528468,9.44464898033409,-10.3063376949193,17.99088,16.90249,16.51141,16.40076,16.35048,1666,301,3,254,3495931386324426752,GALAXY,0,3105,54825,44,,0,0,0
1237652629639594118,9.64446712350555,-10.2984739108593,19.097,17.86976,17.37446,17.15674,17.03501,1666,301,3,255,3495927538033729536,STAR,-0.0001046497,3105,54825,30,K0,0.624,5100,-1.82
1237652946381897869,8.66467645109117,-11.0204554452175,19.41585,18.54848,18.25692,18.12146,18.1287,1740,301,1,79,3495934684859310080,STAR,-0.0001539399,3105,54825,56,unknown,0,6000,-2.5
1237652946381963371,8.77461571009573,-10.9183189082799,19.38173,18.41657,18.13974,18.07603,18.057,1740,301,1,80,3495934409981403136,STAR,-0.0004383711,3105,54825,55,unknown,0,6500,-1.5
1237652946382028854,9.01314187078239,-10.9282097478087,18.07568,16.35721,15.7689,15.52802,15.44613,1740,301,1,81,3495920666086055936,STAR,-2.620282E-05,3105,54825,5,G5,0.717,5426,-0.04
1237652946382094350,9.138032753247,-10.8619334901195,18.31151,16.77249,16.15955,15.88573,15.74015,1740,301,1,82,3495923139987218432,STAR,-0.001052067,3105,54825,14,G5III,0.709,5073,-1.44
1237652946919030786,9.22692342412017,-10.4283891902352,18.61604,18.43568,18.19991,18.29292,18.40541,1740,301,2,83,3495927263155822592,QSO,1.054822,3105,54825,29,,0,0,0
1237652946919096388,9.38628188786269,-10.5588084807556,19.58482,18.58169,18.31773,18.22762,18.15905,1740,301,2,84,3495928087789543424,STAR,0.0003446026,3105,54825,32,unknown,0,6000,-2
1237652947455967275,9.41410650270184,-10.1671514358289,18.28469,17.14063,17.30104,17.44393,17.51886,1740,301,3,84,3495927812911636480,STAR,-0.0004371901,3105,54825,31,unknown,0,8500,-2.5
